company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,reported_year,month
Remote,100.0,9.0,2022-07-06,HR Tech,San Francisco,Publico,Private,,1970-01-01 00:00:00.000002022,1970-01
Vox Media,169.0,9.0,2023-01-20,"Digital media, journalism","Washington, DC",CNN,Private,,1970-01-01 00:00:00.000002023,1970-01
Yotpo,70.0,9.0,2022-11-16,"marketing, media",New York,Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Aura,70.0,9.0,2022-06-24,Cybersecurity,Boston,Bank Info Security,Private,,1970-01-01 00:00:00.000002022,1970-01
Komodo Health,78.0,9.0,2022-12-13,"Health care, predictive analytics",San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Jellyfish US,4367.0,9.0,2023-01-13,"engineering, software",Boston,BostonInno,Private,,1970-01-01 00:00:00.000002023,1970-01
Khoros,120.0,10.0,2022-10-21,"SaaS, enterprise software",Austin,Austin Business News,Private,,1970-01-01 00:00:00.000002022,1970-01
Bonterra,140.0,10.0,2023-01-13,"social impact, finance",Distributed,The Nonprofit Times,Private,,1970-01-01 00:00:00.000002023,1970-01
Chargebee,142.0,10.0,2022-11-02,"Fintech, SaaS",San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
6sense,150.0,10.0,2022-10-12,"Artificial Intelligence, Machine Learning",San Francisco,MoneyControl,Private,,1970-01-01 00:00:00.000002022,1970-01
Relativity,150.0,10.0,2022-12-07,"Data science, enterprise",Chicago,Crain's Chicago,Private,,1970-01-01 00:00:00.000002022,1970-01
TIFIN,21.0,10.0,2022-06-14,FinTech,Boulder,Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
Lusha,30.0,10.0,2022-07-18,Sales tech,New York,CTech,Private,,1970-01-01 00:00:00.000002022,1970-01
Aqua Security,65.0,10.0,2022-12-05,"SecOps, security","Burlington, MA",Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Spin,78.0,10.0,2022-09-30,Transportation,San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Verbit,80.0,10.0,2022-07-05,Natural Language Processing,New York,CTech,Private,,1970-01-01 00:00:00.000002022,1970-01
ZenLedger,8342.0,10.0,2022-12-09,"Blockchain, cryptocurrency","Bellevue, WA",Blockworks,Private,,1970-01-01 00:00:00.000002022,1970-01
Firework,5385.0,10.0,2022-11-29,"e-commerce, retail",San Francisco,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Mythical Games,14409.0,10.0,2022-11-04,"Video games, blockchain",Los Angeles,Bloomberg,Private,,1970-01-01 00:00:00.000002022,1970-01
Apartment List,15074.0,10.0,2022-08-31,Proptech,San Francisco,CEO Matthew Woods,Private,,1970-01-01 00:00:00.000002022,1970-01
impact.com,5431.0,10.0,2022-08-25,Digital marketing,"Santa Barbara, CA",impact.com,Private,,1970-01-01 00:00:00.000002022,1970-01
80 Acres Farms,5731.0,10.0,2023-01-18,"indoor farming, agtech","Hamilton, OH",CincinnatiInno,Private,,1970-01-01 00:00:00.000002023,1970-01
98point6,10169.0,10.0,2022-07-21,Health Care,Seattle,GeekWire,Private,,1970-01-01 00:00:00.000002022,1970-01
Gemini,3725.0,10.0,2022-06-02,"Fintech, Crypto",New York,Bloomberg,Private,,1970-01-01 00:00:00.000002022,1970-01
Side,13120.0,10.0,2022-06-01,PropTech,San Francisco,Inman,Private,,1970-01-01 00:00:00.000002022,1970-01
Carta,200.0,10.0,2023-01-11,Fintech,San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002023,1970-01
ConsenSys,100.0,11.0,2023-01-10,"Cryptocurrency, FinTech",New York,CoinDesk,Private,,1970-01-01 00:00:00.000002023,1970-01
Tipalti,123.0,11.0,2023-01-11,FinTech,San Mateo,Calcalistech,Private,,1970-01-01 00:00:00.000002023,1970-01
Brex,136.0,11.0,2022-10-11,Fintech,San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Salsify,90.0,11.0,2022-11-16,"Cloud computing, e-commerce",Boston,Boston Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
SADA,9224.0,11.0,2022-11-08,"Cloud computing, IT",Los Angeles,SADA CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
Momentive,3415.0,11.0,2022-10-14,information technology,"Waterford, MI",TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Automox,8558.0,11.0,2022-04-18,Security,Boulder,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Klarna,750.0,12.0,2022-09-22,Fintech,Stockholm,Sifted,Private,,1970-01-01 00:00:00.000002022,1970-01
JumpCloud,100.0,12.0,2023-01-18,"Cloud services, cybersecurity","Louisville, CO",JumpCloud,Private,,1970-01-01 00:00:00.000002023,1970-01
Chime,156.0,12.0,2022-11-02,Fintech,San Francisco,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Embroker,30.0,12.0,2022-10-25,InsurTech,San Francisco,The Insurer,Private,,1970-01-01 00:00:00.000002022,1970-01
Divvy Homes,40.0,12.0,2022-09-27,PropTech,San Franicsco,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Ethos Life,40.0,12.0,2022-06-24,InsurTech,San Francisco,Coverager,Private,,1970-01-01 00:00:00.000002022,1970-01
GoFundMe,94.0,12.0,2022-10-26,Crowdfunding,"Redwood City, CA",GoFundMe,Private,,1970-01-01 00:00:00.000002022,1970-01
Digital Currency Group,10.0,13.0,2022-11-02,Cryptocurrency,"Stamford, CT",Coindesk,Private,,1970-01-01 00:00:00.000002022,1970-01
Intercom,124.0,13.0,2022-11-14,"customer service, automation",San Franicsco,Silicon Republic,Private,,1970-01-01 00:00:00.000002022,1970-01
SundaySky,24.0,13.0,2022-07-11,Video Conferencing Software,New York,Globes,Private,"Layoffs affect employees in the U.S., Israel, and Japan. Layoffs affected around 13% of employees.",1970-01-01 00:00:00.000002022,1970-01
