company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,reported_year,month
Homie,162.0,32.0,2022-10-04,PropTech,"South Jordan, Utah","TechCrunch, Crunchbase News reporting",Private,,1970-01-01 00:00:00.000002022,1970-01
Socure,173.0,32.0,2023-01-05,Identity verification,Reno,Biometric Update,Private,,1970-01-01 00:00:00.000002023,1970-01
Bolt,250.0,33.0,2022-05-25,FinTech,San Francisco,Fortune,Private,,1970-01-01 00:00:00.000002022,1970-01
Candy Digital,33.0,33.0,2022-11-28,Cryptocurrency,New York,Decrypt,Private,,1970-01-01 00:00:00.000002022,1970-01
Ideoclick,40.0,33.0,2022-05-04,E-commerce,Seattle,Puget Sound Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Brave Care,40.0,33.0,2022-09-06,"Pediatrics, telehealth",Portland,The Oregonian,Private,,1970-01-01 00:00:00.000002022,1970-01
Tomo,44.0,33.0,2022-05-31,"FinTech, PropTech",Stamford,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
MainStreet,50.0,33.0,2022-05-04,Fintech,San Jose,Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Replicated,50.0,33.0,2022-05-31,Enterprise Software,Los Angeles,Replicated,Private,,1970-01-01 00:00:00.000002022,1970-01
Hologram,80.0,33.0,2022-06-09,IoT,Chicago,Crain's Chicago Business,Private,,1970-01-01 00:00:00.000002022,1970-01
Esper,8768.0,33.0,2023-01-10,DevOps,Seattle,GeekWire,Private,,1970-01-01 00:00:00.000002023,1970-01
TruePill,10574.0,33.0,2022-09-30,"pharmaceutical, health care","Hayward, CA",TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Happy Money,158.0,34.0,2022-11-30,"Fintech, payments",Los Angeles,LinkedIn reports,Private,,1970-01-01 00:00:00.000002022,1970-01
Tonal,262.0,35.0,2022-07-13,Fitness,San Francisco,CNBC,Private,,1970-01-01 00:00:00.000002022,1970-01
Hydrow,70.0,35.0,2022-07-21,Fitness,Boston,Boston Globe,Private,,1970-01-01 00:00:00.000002022,1970-01
Callisto Media,5477.0,35.0,2022-10-25,Analytics,"Emeryville, California",Publishers Weekly,Private,,1970-01-01 00:00:00.000002022,1970-01
Lunchbox,3100.0,37.0,2023-01-10,"Restaurant Tech, Food Tech",New York,Business Insider,Private,,1970-01-01 00:00:00.000002023,1970-01
Fabric,120.0,40.0,2022-07-13,"E-commerce, Logistics",New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Rasa,59.0,40.0,2022-04-04,Artificial Intelligence,San Francisco,Business Insider,Private,"Rasa was founded in Berlin but moved its headquarters to San Francisco in 2019. Layoffs affected employees in the U.S., Germany, and U.K. Layoffs affected around 40% of employees.",1970-01-01 00:00:00.000002022,1970-01
NCX,13406.0,40.0,2022-11-28,"Renewable energy, forestry",San Francisco,NCX,Private,,1970-01-01 00:00:00.000002022,1970-01
Fundbox,150.0,42.0,2022-10-25,Fintech,San Francisco,Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Zeus Living,64.0,46.0,2022-10-20,"Home decor, PropTech",San Francisco,San Francisco Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Knock,17490.0,46.0,2022-03-15,Proptech,New York,The Real Deal,Private,,1970-01-01 00:00:00.000002022,1970-01
Ocavu,20.0,48.0,2022-11-10,Cryptocurrency,"Lehi, UT",Salt Lake Tribune,Private,,1970-01-01 00:00:00.000002022,1970-01
Better.com,5000.0,50.0,2022-04-19,Fintech,New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Virgin Hyperloop,111.0,50.0,2022-02-22,Transporation,Los Angeles,Fortune,Private,,1970-01-01 00:00:00.000002022,1970-01
Notarize,170.0,50.0,2022-10-31,Legal Tech,Boston,Boston Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Iron Ox,50.0,50.0,2022-11-02,"AgTech, food and beverage",San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
BloomTech,88.0,50.0,2022-12-01,Edtech,San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Medly Pharmacy,15195.0,50.0,2022-09-07,"Pharmacy, health care",New York,Crain's New York,Private,,1970-01-01 00:00:00.000002022,1970-01
Bizzabo,220.0,60.0,2022-12-01,Virtual Event,New York,Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Parler,60.0,75.0,2023-01-10,Social media,"Nashville, TN",The Verge,Private,,1970-01-01 00:00:00.000002023,1970-01
Mojo Vision,14462.0,75.0,2023-01-06,"AR, health care","Saratoga, CA",TechCrunch,Private,,1970-01-01 00:00:00.000002023,1970-01
Uniphore,76.0,76.0,2023-01-03,"Artificial intelligence, machine learning","Palo Alto, CA",Outlook Start-Up,Private,,1970-01-01 00:00:00.000002023,1970-01
Butler Hospitality,1000.0,100.0,2022-07-08,Hospitality,New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
SummerBio,101.0,100.0,2022-06-20,"Health Care, Diagnostics",Menlo Park,Bay Area Inno,Private,,1970-01-01 00:00:00.000002022,1970-01
Reali,140.0,100.0,2022-08-24,PropTech,"San Mateo, CA",Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Fast,400.0,100.0,2022-04-05,Fintech,San Francisco,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Protocol Media,60.0,100.0,2022-11-15,"News, media",San Francisco,CNN,Private,,1970-01-01 00:00:00.000002022,1970-01
WanderJaunt,85.0,100.0,2022-07-01,"PropTech, Real Estate",San Francisco,Short Term Rentalz,Private,,1970-01-01 00:00:00.000002022,1970-01
Wyre,14618.0,100.0,2023-01-04,"Cryptocurrency, blockchain",San Francisco,Blockworks,Private,,1970-01-01 00:00:00.000002023,1970-01
Lantern,157.0,100.0,2023-01-06,"E-commerce, consumer lending","Grand Rapids, MI",Lantern CEO Meredith Mahoney,Private,,1970-01-01 00:00:00.000002023,1970-01
Lora DiCarlo Inc.,10601.0,100.0,2022-12-02,"Wellness, consumer goods","Bend, OR",TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Bitfront,777.0,100.0,2022-11-29,Cryptocurrency,"Palo Alto, CA",Reuters,Private,,1970-01-01 00:00:00.000002022,1970-01
Assure,5335.0,100.0,2022-11-23,Fintech,Salt Lake City,Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
GloriFi,11927.0,100.0,2022-11-21,Fintech,Dallas,WSJ,Private,,1970-01-01 00:00:00.000002022,1970-01
Kite,1886.0,100.0,2022-11-16,"AI, coding",San Francisco,Kite,Private,,1970-01-01 00:00:00.000002022,1970-01
Wavely,7054.0,100.0,2022-11-10,"hiring, HR","Palo Alto, CA",Wavely,Private,,1970-01-01 00:00:00.000002022,1970-01
Fifth Season,13198.0,100.0,2022-10-28,Vertical farming,Pittsburgh,Pittsburgh Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Argo AI,6477.0,100.0,2022-10-26,Transportation,Pittsburgh,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
CommonBond,16458.0,100.0,2022-09-09,"FinTech, loan repayments",New York,"David Klein, CEO of CommonBond",Private,,1970-01-01 00:00:00.000002022,1970-01
The Wing,15087.0,100.0,2022-08-31,Coworking,New York,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Edmodo,17263.0,100.0,2022-08-16,Edtech,"San Mateo, CA",EdSurge,Private,,1970-01-01 00:00:00.000002022,1970-01
Haus,3178.0,100.0,2022-08-08,food and beverage,"Healdsburg, CA",TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
BlockFi,14000.0,100.0,2022-11-28,Crypto,Jersey City,Decrypt,Private,,1970-01-01 00:00:00.000002022,1970-01
Pesto,14550.0,100.0,2022-09-23,"IT, future of work",San Francisco,Pesto announcement,Private,,1970-01-01 00:00:00.000002022,1970-01
Kitty Hawk,17623.0,100.0,2022-09-21,aerospace,Mountain View,CNBC,Private,,1970-01-01 00:00:00.000002022,1970-01
Subspace,13799.0,100.0,2022-05-13,Media/entertainment,Los Angeles,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Halcyon Health,2896.0,100.0,2022-04-15,Health Care,New York,Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
Ahead,14831.0,100.0,2022-04-14,Health Care,"Santa Clara, CA",Bloomberg,Private,,1970-01-01 00:00:00.000002022,1970-01
100 Thieves,12.0,93.0,2023-01-10,"eSports, Media",Los Angeles,Dexerto,Private,"More than a dozen employees were reportedly laid off in July. In January, the company laid off more employees.",1970-01-01 00:00:00.000002023,1970-01
Orbit,14.0,51.0,2022-08-12,Productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off,1970-01-01 00:00:00.000002022,1970-01
Cybereason,100.0,16.0,2022-06-01,Cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe.",1970-01-01 00:00:00.000002022,1970-01
Progrexion,100.0,67.0,2022-06-07,FinTech,Salt Lake City,Crunchbase News,Private,,1970-01-01 00:00:00.000002022,1970-01
Gem,100.0,42.0,2022-11-02,Recruiting,San Francisco,Gem CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
Glossier,104.0,60.0,2022-08-02,Beauty,New York,Modern Retail,Private,,1970-01-01 00:00:00.000002022,1970-01
Stripe,1050.0,9.0,2022-11-03,Fintech,San Francisco,Bloomberg,Private,,1970-01-01 00:00:00.000002022,1970-01
Curative,109.0,24.0,2022-09-20,health diagnostics,Los Angeles,Digital Health,Private,,1970-01-01 00:00:00.000002022,1970-01
Noom,1095.0,54.0,2022-10-11,Fitness/Digital Health,New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Homepoint,113.0,35.0,2022-11-17,Proptech,"Greenville, SC",Phoenix Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Arc,13.0,48.0,2022-07-20,HR Tech,Mountain View,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
ChowNow,140.0,59.0,2022-12-14,"Restaurant Tech, Food Tech","Playa Visa, California",Restaurant Business Online,Private,,1970-01-01 00:00:00.000002022,1970-01
Healthcare.com,149.0,51.0,2022-08-03,Insurtech,"Miami, FL",Miami Inno,Private,,1970-01-01 00:00:00.000002022,1970-01
Finite State,16.0,4.0,2022-06-17,Cybersecurity,Columbus,ColumbusInno,Private,,1970-01-01 00:00:00.000002022,1970-01
Rad Power Bikes,163.0,28.0,2022-07-21,Transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July.",1970-01-01 00:00:00.000002022,1970-01
Cameo,167.0,38.0,2022-05-04,Media/entertainment,Chicago,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Weedmaps,175.0,90.0,2022-12-06,"Marijuana, marketing","Irvine, CA",Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Orchard,180.0,7.0,2022-11-17,Proptech,New York,Inman,Private,,1970-01-01 00:00:00.000002022,1970-01
Clyde,19.0,17.0,2022-04-25,E-commerce,New York,External Spreadsheet,Private,,1970-01-01 00:00:00.000002022,1970-01
AvantStay,224.0,88.0,2022-11-09,Travel,Los Angeles,Skift,Private,,1970-01-01 00:00:00.000002022,1970-01
Booking.com,226.0,94.0,2022-11-01,"Travel, hotels","Grand Rapids, MI",Crain's Detroit Business,Private,,1970-01-01 00:00:00.000002022,1970-01
Aspire,23.0,38.0,2022-07-15,Marketing tech,San Francisco,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Gopuff,2300.0,84.0,2022-10-21,E-commerce,Philadelphia,"Bloomberg, The Information",Private,"First round of layoffs was in January, second round was in March, third round was in July, and the fourth round was in October.",1970-01-01 00:00:00.000002022,1970-01
Eaze,25.0,31.0,2022-06-02,Cannabis,San Francisco,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Nuro,310.0,87.0,2022-11-18,Transportation,Mountain View,The Robot Report,Private,,1970-01-01 00:00:00.000002022,1970-01
Citizen,33.0,61.0,2023-01-11,Surveillance,New York,TechCrunch,Private,,1970-01-01 00:00:00.000002023,1970-01
Balto,35.0,40.0,2022-12-12,"Artificial intelligence, machine learning",St. Louis,St. Louis Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Hopin,370.0,58.0,2022-07-11,Virtual Event,London,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Vial,40.0,19.0,2023-01-13,"health care, clinical trials",San Francisco,Business Insider,Private,,1970-01-01 00:00:00.000002023,1970-01
Wistia,40.0,20.0,2022-11-10,"Video production, marketing","Cambridge, MA",Wistia CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
FreshDirect,40.0,56.0,2022-08-25,"Food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Adwerx,40.0,43.0,2022-07-12,Digital Marketing,"Durham, North Carolina",Inman,Private,,1970-01-01 00:00:00.000002022,1970-01
Community,40.0,66.0,2022-06-22,Social Media,Los Angeles,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Esme Learning,40.0,98.0,2022-06-02,EdTech,"Newton, Massachusetts","Esme Learning, Crunchbase News reporting",Private,,1970-01-01 00:00:00.000002022,1970-01
Luxury Presence,44.0,28.0,2023-01-17,"proptech, advertising","Santa Monica, CA",Inman,Private,,1970-01-01 00:00:00.000002023,1970-01
Hubilo,45.0,26.0,2022-07-12,Virtual Events,San Francisco,Inc42,Private,,1970-01-01 00:00:00.000002022,1970-01
Olive,450.0,79.0,2022-07-19,Health Care,Columbus,Olive,Private,,1970-01-01 00:00:00.000002022,1970-01
Imperfect Foods,50.0,20.0,2022-08-01,"Grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,,1970-01-01 00:00:00.000002022,1970-01
Tempo Automation,54.0,79.0,2022-08-17,automotive,San Francisco,San Francisco Business Times,Private,,1970-01-01 00:00:00.000002022,1970-01
Chili Piper,58.0,85.0,2022-11-17,"enterprise software, productivity",New York,Chili Piper,Private,,1970-01-01 00:00:00.000002022,1970-01
On Deck,73.0,79.0,2022-08-04,"Networking, business development",San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Varo,75.0,28.0,2022-07-20,Fintech,San Francisco,Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
Nylas,80.0,60.0,2022-08-02,"Software, Emails, API",San Francisco,Nylas,Private,,1970-01-01 00:00:00.000002022,1970-01
Career Karma,82.0,17.0,2023-01-12,"Career planning, social network",San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002023,1970-01
Rev.com,85.0,73.0,2022-10-07,"Speech recognition, artificial intelligence",San Francisco,Austin American-Statesman,Private,,1970-01-01 00:00:00.000002022,1970-01
The Zebra,90.0,9.0,2022-11-15,"Insurance, fintech","Austin, TX",Coverager,Private,,1970-01-01 00:00:00.000002022,1970-01
Colossus,97.0,20.0,2022-05-20,"Solar, Software",Massachusetts,Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
OnlyFans,1657.0,69.0,2022-08-01,"Social media, creator economy",London,Business Insider,Private,OnlyFans is based in the UK but has a sizeable workforce in the US,1970-01-01 00:00:00.000002022,1970-01
Talkdesk,495.0,8.0,2022-05-19,Customer service,San Francisco,Confirmed by CB News from source,Private,Sources say hundreds of employees have been laid off,1970-01-01 00:00:00.000002022,1970-01
StubHub,14879.0,69.0,2022-08-04,"E-commerce, ticketing",San Francisco,StubHub on LinkedIn,Private,StubHub announced they would be letting go of the majority of their employees on a LinkedIn post,1970-01-01 00:00:00.000002022,1970-01
Cerebral,5095.0,67.0,2022-10-24,Health Care,San Francisco,Wall Street Journal,Private,The company previously laid off employees in May.,1970-01-01 00:00:00.000002022,1970-01
Elemy,9137.0,17.0,2022-12-05,Health Care,San Francisco,Behavioral Health Business,Private,The company previously laid off workers in July.,1970-01-01 00:00:00.000002022,1970-01
TikTok,1327.0,63.0,2022-07-18,Social Media,Los Angeles,Wired,Private,"TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S.",1970-01-01 00:00:00.000002022,1970-01
RateGenius,12010.0,9.0,2023-01-17,"consumer lending, fintech","Austin, TX",AustinInno,Private,,1970-01-01 00:00:00.000002023,1970-01
GoCanvas,1479.0,22.0,2023-01-13,"productivity, enterprise software","Reston, VA",GoCanvas CEO Viyas Sundaram,Private,,1970-01-01 00:00:00.000002023,1970-01
CoSchedule,3185.0,52.0,2023-01-13,"productivity, marketing","Bismarck, ND",Inforum,Private,,1970-01-01 00:00:00.000002023,1970-01
Oyster,8174.0,1.0,2023-01-11,"human resources, SaaS","Charlotte, NC",Oyster,Private,,1970-01-01 00:00:00.000002023,1970-01
Embark,1900.0,61.0,2023-01-11,"Pet tech, health care",Boston,Embark CEP Ryan Boyko,Private,,1970-01-01 00:00:00.000002023,1970-01
Cart.com,1803.0,58.0,2023-01-10,"E-commerce, DTC","Austin, TX",AustinInno,Private,,1970-01-01 00:00:00.000002023,1970-01
CreateMe Technologies,9928.0,83.0,2023-01-06,"Product design, apparel","New City, NY",San Francisco Business Times,Private,,1970-01-01 00:00:00.000002023,1970-01
CareerArc,2155.0,98.0,2023-01-06,"Human resources, recruiting",Los Angeles,CareerArc,Private,,1970-01-01 00:00:00.000002023,1970-01
Autograph,17063.0,31.0,2022-12-16,"cryptocurrency, blockchain","Santa Monica, CA",Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Convene,16444.0,87.0,2022-12-10,"Proptech, hospitality",New York,Convene CEO Ryan Simonetti,Private,,1970-01-01 00:00:00.000002022,1970-01
Autobooks,9030.0,98.0,2022-12-10,"Fintech, payments",Detroit,Crain's Detroit Business,Private,,1970-01-01 00:00:00.000002022,1970-01
Zywave,11145.0,34.0,2022-12-07,"Insurtech, cloud computing",Milwaukee,Milwaukee Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
CircleCI,3063.0,55.0,2022-12-07,"automation, IT",San Francisco,CircleCI,Private,,1970-01-01 00:00:00.000002022,1970-01
Route,13847.0,14.0,2022-12-05,"Retail, e-commerce","Lehi, UT",Salt Lake Tribune,Private,,1970-01-01 00:00:00.000002022,1970-01
Inspectify,14226.0,82.0,2022-11-28,Proptech,Seattle,Puget Sound Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Storyblocks,3583.0,70.0,2022-11-18,"Media, video editing","Washington, DC",Storyblocks CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
Metaplex,9843.0,99.0,2022-11-18,Cryptocurrency,Chicago,AMBCrypto,Private,,1970-01-01 00:00:00.000002022,1970-01
Kandji,132.0,65.0,2022-11-17,"IT, software",San Diego,LinkedIn reports,Private,,1970-01-01 00:00:00.000002022,1970-01
Reforge,2334.0,86.0,2022-11-10,HR Tech,San Francisco,Reforge CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
Amobee,14591.0,77.0,2022-11-09,"Adtech, digital marketing","Redwood City, CA",Amobee,Private,,1970-01-01 00:00:00.000002022,1970-01
Domino Data Lab,12877.0,65.0,2022-11-07,"AI, big data",San Francisco,LinkedIn reports,Private,,1970-01-01 00:00:00.000002022,1970-01
Spreetail,14540.0,73.0,2022-10-27,"retail, e-commerce","Lincoln, NE",Spreetail CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
TigerGraph,6227.0,97.0,2022-10-25,Analytics,"Redwood City, CA",Sources within the company,Private,,1970-01-01 00:00:00.000002022,1970-01
Clever Real Estate,8203.0,92.0,2022-10-19,PropTech,St. Louis,St. Louis Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Noodle,13022.0,64.0,2022-10-18,EdTech,New York,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Built In,8200.0,81.0,2022-10-05,Networking,Chicago,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Instacart,3735.0,22.0,2022-09-24,"delivery, e-commerce",San Francisco,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
DayTwo,8186.0,94.0,2022-09-15,"Health care, nutrition","Walnut Creek, CA",Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
WorkRamp,11146.0,42.0,2022-09-15,"Saas, enterprise software","San Carlos, CA",LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Sundae,8494.0,27.0,2022-09-13,PropTech,San Francisco,Confirmed by CB News from sources,Private,,1970-01-01 00:00:00.000002022,1970-01
Sama,10118.0,54.0,2022-09-12,"AI, enterprise software",San Francisco,Sama,Private,,1970-01-01 00:00:00.000002022,1970-01
DreamBox Learning,12521.0,45.0,2022-09-09,EdTech,Seattle,Geekwire,Private,,1970-01-01 00:00:00.000002022,1970-01
FullStory,8726.0,48.0,2022-09-08,"SaaS, data",Atlanta,"Scott Voigt, CEO of FullStory",Private,,1970-01-01 00:00:00.000002022,1970-01
realtor.com,9665.0,78.0,2022-09-08,Proptech,"Santa Clara, CA",SFGate,Private,,1970-01-01 00:00:00.000002022,1970-01
Fungible,14236.0,50.0,2022-08-29,cryptocurrency,"Santa Clara, CA",Blocks & Files,Private,,1970-01-01 00:00:00.000002022,1970-01
Pix,6952.0,91.0,2022-08-24,Foodtech,"Napa, CA",San Francisco Chronicle,Private,,1970-01-01 00:00:00.000002022,1970-01
People.ai,16167.0,11.0,2022-07-26,"AI, Sales",San Francisco,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Capsule,6846.0,12.0,2022-07-21,Health Care,New York,Crain's New York,Private,,1970-01-01 00:00:00.000002022,1970-01
InVision,17086.0,64.0,2022-07-21,"Visual collaboration, Apps",New York,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Alto Pharmacy,12335.0,68.0,2022-07-14,Health Care,San Francisco,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Spring,16357.0,2.0,2022-07-13,E-commerce,San Francisco,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Nextbite,7431.0,35.0,2022-07-08,"Restaurant Tech, Food Tech",Denver,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
LetsGetChecked,10697.0,57.0,2022-07-02,Health Care,New York,Business Post,Private,,1970-01-01 00:00:00.000002022,1970-01
Teleport,10839.0,13.0,2022-07-01,Cloud Infrastructure,Oakland,Teleport,Private,,1970-01-01 00:00:00.000002022,1970-01
Modsy,13783.0,90.0,2022-06-29,E-commerce,San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Degreed,13894.0,65.0,2022-06-29,EdTech,"Pleasanton, CA",LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Keepe,6474.0,38.0,2022-06-10,PropTech,Seattle,GeekWire,Private,,1970-01-01 00:00:00.000002022,1970-01
Liongard,15909.0,16.0,2022-06-10,IT Infrastructure,Houston,CRN,Private,,1970-01-01 00:00:00.000002022,1970-01
Deep Instinct,15281.0,26.0,2022-06-08,Cybersecurity,New York,Crunchbase News,Private,,1970-01-01 00:00:00.000002022,1970-01
ID.Me,10154.0,29.0,2022-06-07,Identity verification,"McLean, Virginia",Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Clubhouse,98.0,32.0,2022-06-03,"Social Media, Audio",San Francisco,Bloomberg,Private,,1970-01-01 00:00:00.000002022,1970-01
Zwift,9426.0,52.0,2022-05-12,Fitness,Long Beach,DC Rainmaker,Private,,1970-01-01 00:00:00.000002022,1970-01
Tripwire,5979.0,61.0,2022-05-12,Security,Portland,OregonLive,Private,,1970-01-01 00:00:00.000002022,1970-01
Mural,8720.0,65.0,2022-05-06,Product Design,San Francisco,Protocol,Private,,1970-01-01 00:00:00.000002022,1970-01
Thrasio,13397.0,77.0,2022-05-02,E-commerce,"Walpole, MA",Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Workrise,15366.0,27.0,2022-04-05,Marketplace,"Austin, TX",TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
F5,100.0,1.0,2022-10-21,"SaaS, enterprise software",Seattle,GeekWire,Public,,1970-01-01 00:00:00.000002022,1970-01
Affirm,664.0,1.0,2022-11-03,"Fintech, loans",San Francisco,The Information,Public,,1970-01-01 00:00:00.000002022,1970-01
Freshworks,90.0,2.0,2022-12-15,"CRM, IT","San Mateo, CA",Inc42,Public,,1970-01-01 00:00:00.000002022,1970-01
Coursera,32.0,3.0,2022-11-09,Edtech,"Mountain View, CA",Coursera CEO,Public,,1970-01-01 00:00:00.000002022,1970-01
Outbrain,38.0,3.0,2022-07-26,Digital Marketing,New York,CTech,Public,,1970-01-01 00:00:00.000002022,1970-01
WalkMe,43.0,3.0,2023-01-08,"edtech, product management",San Francisco,Calcalistech,Public,,1970-01-01 00:00:00.000002023,1970-01
Amdocs,700.0,3.0,2023-01-02,"CRM, enterprise software","Chesterfield, MO",Calcalistech,Public,,1970-01-01 00:00:00.000002023,1970-01
Nutanix,270.0,4.0,2022-08-10,"data center, enterprise software",San Jose,SFGate,Public,,1970-01-01 00:00:00.000002022,1970-01
Varonis Systems,110.0,5.0,2022-11-06,Cybersecurity,New York,Calcalistech,Public,"Half of its layoffs happened at its R&D center in Israel, per reports. Layoffs affected 5% of employees.",1970-01-01 00:00:00.000002022,1970-01
Amazon,18000.0,5.0,2023-01-05,"E-commerce, SaaS",Seattle,Wall Street Journal,Public,,1970-01-01 00:00:00.000002023,1970-01
Zillow,300.0,5.0,2022-10-26,PropTech,Seattle,TechCrunch,Public,,1970-01-01 00:00:00.000002022,1970-01
Zendesk,350.0,5.0,2022-11-07,"Enterprise software, customer service",San Francisco,SFGate,Public,,1970-01-01 00:00:00.000002022,1970-01
Cisco,4100.0,5.0,2022-11-16,"enterprise software, SaaS","San Jose, CA",Silicon Valley Business Journal,Public,,1970-01-01 00:00:00.000002022,1970-01
TechTarget,60.0,5.0,2022-12-08,Marketing,"Newton, MA",MarketWatch,Public,,1970-01-01 00:00:00.000002022,1970-01
BlackLine,95.0,5.0,2022-12-08,Enterprise Software,Los Angeles,Seeking Alpha,Public,,1970-01-01 00:00:00.000002022,1970-01
Sweetgreen,7353.0,5.0,2022-08-09,"food and beverage, restaurants","Washington, DC",CNBC,Public,,1970-01-01 00:00:00.000002022,1970-01
Taboola,100.0,6.0,2022-09-13,Content marketing,New York,Calcalistech,Public,,1970-01-01 00:00:00.000002022,1970-01
Spotify,588.0,6.0,2023-01-24,Music,"Stockholm, Sweden",TechCrunch,Public,,1970-01-01 00:00:00.000002023,1970-01
DoorDash,1250.0,6.0,2022-11-30,"Food delivery, ecommerce",San Francisco,Reuters,Public,,1970-01-01 00:00:00.000002022,1970-01
Latch,30.0,6.0,2022-05-13,"Smart Home, Security",New York,TechCrunch,Public,,1970-01-01 00:00:00.000002022,1970-01
Teladoc Health,300.0,6.0,2023-01-18,"health care, telehealth","Purchase, NY",Digital Health,Public,,1970-01-01 00:00:00.000002023,1970-01
Definitive Healthcare,55.0,6.0,2023-01-12,"Health care, analytics","Framingham, MA",CMLVIZ,Public,,1970-01-01 00:00:00.000002023,1970-01
Rivian,840.0,6.0,2022-07-28,"electric vehicle, transportation","Irvine, CA",CNN,Public,,1970-01-01 00:00:00.000002022,1970-01
Vimeo,15784.0,6.0,2023-01-04,Media/entertainment,New York,Vimeo,Public,,1970-01-01 00:00:00.000002023,1970-01
nCino,100.0,7.0,2023-01-18,"Fintech, software","Wilmington, NC",Port City Daily,Public,,1970-01-01 00:00:00.000002023,1970-01
8x8,155.0,7.0,2023-01-18,"telecommunications, enterprise software","San Jose, CA",Channel Futures,Public,,1970-01-01 00:00:00.000002023,1970-01
Roku,200.0,7.0,2022-11-17,"media, streaming","Los Gatos, CA",Variety,Public,,1970-01-01 00:00:00.000002022,1970-01
